,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
同父同母的子女之间,"[54, 61, 92, 82, 79, 86, 71, 74]","[77, 16, 5, 34, 82, 62, 55, 86]","[2, 32, 0, 8, 17, 84, 22, 10]","[11, 14, 16, 18, 26, 95, 59, 88]","[2, 7, 39, 18, 11, 48, 23, 11]","[26, 4, 0, 37, 13, 8, 20, 17]","[66, 100, 94, 100, 49, 73, 73, 86]","[74, 63, 95, 100, 72, 93, 88, 95]","[51, 64, 100, 61, 74, 51, 77, 91]","[60, 81, 100, 91, 84, 100, 96, 60]","[83, 61, 3, 95, 82, 85, 57, 41]","[76, 74, 84, 22, 40, 88, 17, 51]","[86, 72, 100, 96, 90, 100, 100, 81]","[81, 70, 77, 86, 59, 90, 86, 75]","[50, 80, 84, 88, 63, 100, 90, 48]","[54, 82, 77, 10, 56, 0, 3, 11]","[61, 88, 65, 87, 75, 83, 87, 97]","[25, 22, 1, 13, 2, 0, 0, 20]","[82, 85, 55, 92, 86, 73, 50, 84]","[87, 79, 47, 76, 74, 76, 54, 94]","[86, 80, 67, 90, 81, 72, 55, 91]","[85, 83, 77, 87, 68, 75, 17, 93]","[10, 34, 45, 9, 34, 7, 61, 5]","[83, 65, 83, 83, 77, 82, 80, 92]","[17, 89, 14, 13, 74, 3, 17, 90]","[88, 57, 57, 100, 80, 83, 52, 3]","[12, 5, 17, 50, 3, 10, 4, 52]","[87, 100, 59, 100, 96, 46, 90, 80]","[82, 2, 25, 23, 95, 85, 19, 91]","[8, 2, 15, 0, 9, 6, 36, 6]","[49, 25, 24, 17, 31, 51, 29, 5]","[86, 80, 35, 54, 85, 68, 82, 75]","[9, 5, 20, 0, 2, 69, 0, 3]","[86, 84, 54, 100, 92, 65, 75, 91]","[5, 53, 19, 49, 2, 21, 0, 51]"
作家-评论家,"[97, 90, 61, 52, 54, 53, 45, 78]","[83, 80, 43, 24, 71, 19, 85, 43]","[52, 37, 28, 11, 18, 46, 82, 87]","[37, 0, 2, 8, 24, 11, 12, 15]","[3, 0, 38, 34, 50, 57, 24, 41]","[10, 27, 0, 42, 13, 23, 20, 18]","[78, 100, 59, 60, 68, 95, 88, 70]","[33, 66, 48, 23, 65, 46, 24, 20]","[76, 44, 50, 19, 76, 63, 15, 29]","[61, 59, 11, 26, 2, 45, 17, 12]","[85, 63, 54, 83, 64, 15, 87, 48]","[78, 23, 53, 80, 2, 67, 61, 28]","[18, 70, 60, 57, 47, 42, 16, 45]","[40, 61, 59, 22, 67, 61, 63, 23]","[86, 70, 0, 14, 11, 75, 26, 10]","[28, 74, 96, 3, 54, 56, 80, 41]","[29, 43, 13, 15, 24, 39, 9, 14]","[18, 55, 0, 14, 38, 50, 57, 31]","[57, 69, 42, 54, 68, 27, 60, 23]","[75, 84, 66, 47, 15, 50, 29, 25]","[75, 41, 16, 52, 36, 36, 55, 7]","[67, 45, 59, 37, 7, 16, 24, 22]","[20, 3, 69, 55, 75, 51, 62, 23]","[69, 61, 86, 96, 34, 72, 76, 57]","[7, 0, 17, 0, 2, 3, 17, 5]","[69, 48, 56, 50, 40, 44, 45, 22]","[11, 29, 36, 88, 4, 62, 74, 51]","[53, 24, 17, 50, 19, 49, 50, 7]","[73, 48, 77, 78, 86, 89, 69, 78]","[17, 15, 67, 26, 42, 10, 58, 29]","[15, 61, 54, 38, 48, 61, 28, 37]","[61, 12, 67, 74, 64, 47, 63, 12]","[49, 45, 76, 0, 72, 45, 71, 93]","[57, 51, 42, 55, 82, 54, 59, 71]","[11, 23, 12, 9, 2, 61, 0, 52]"
首领-反贼,"[3, 1, 0, 1, 36, 3, 39, 5]","[94, 42, 0, 18, 53, 0, 68, 52]","[41, 73, 99, 49, 75, 68, 38, 60]","[66, 15, 23, 18, 50, 86, 94, 11]","[5, 0, 0, 28, 48, 10, 23, 10]","[89, 83, 100, 23, 65, 65, 76, 84]","[8, 82, 48, 100, 68, 10, 44, 16]","[4, 28, 6, 82, 65, 15, 72, 10]","[7, 0, 0, 2, 24, 7, 54, 19]","[65, 27, 0, 15, 54, 25, 43, 41]","[22, 69, 0, 13, 9, 0, 3, 12]","[75, 57, 71, 90, 77, 100, 100, 12]","[86, 49, 42, 5, 48, 76, 15, 9]","[13, 47, 1, 9, 6, 0, 1, 16]","[85, 28, 11, 12, 7, 0, 3, 10]","[2, 55, 2, 12, 2, 0, 0, 2]","[5, 32, 0, 8, 2, 0, 0, 11]","[62, 50, 0, 11, 9, 54, 56, 6]","[60, 2, 18, 0, 69, 0, 2, 3]","[65, 83, 64, 73, 8, 5, 20, 25]","[48, 2, 14, 0, 2, 0, 52, 4]","[52, 6, 22, 0, 2, 0, 27, 3]","[74, 89, 60, 90, 100, 90, 60, 88]","[46, 95, 87, 1, 3, 7, 40, 5]","[16, 2, 15, 0, 2, 0, 3, 4]","[68, 2, 56, 0, 0, 0, 9, 4]","[56, 89, 16, 98, 75, 53, 64, 52]","[79, 20, 58, 0, 2, 42, 50, 4]","[50, 98, 89, 100, 68, 45, 83, 74]","[16, 1, 23, 18, 34, 22, 51, 5]","[50, 100, 15, 100, 96, 57, 94, 93]","[13, 2, 28, 4, 30, 42, 87, 5]","[86, 89, 81, 100, 72, 52, 100, 9]","[51, 98, 93, 0, 30, 66, 51, 3]","[2, 5, 12, 0, 2, 26, 0, 52]"
罪犯-旁观者,"[50, 9, 35, 39, 49, 2, 19, 32]","[84, 43, 0, 3, 19, 0, 78, 28]","[6, 21, 100, 39, 28, 2, 16, 55]","[62, 13, 2, 58, 29, 3, 15, 17]","[8, 0, 0, 39, 64, 56, 23, 10]","[43, 63, 12, 49, 46, 96, 51, 17]","[14, 25, 0, 18, 27, 4, 73, 16]","[7, 2, 0, 5, 76, 7, 20, 17]","[42, 36, 1, 19, 50, 2, 80, 49]","[23, 75, 0, 14, 51, 9, 38, 0]","[16, 73, 0, 11, 7, 0, 1, 33]","[67, 47, 26, 65, 2, 53, 64, 11]","[29, 19, 2, 17, 26, 0, 6, 5]","[28, 48, 0, 22, 12, 0, 3, 15]","[87, 50, 0, 45, 26, 17, 3, 68]","[2, 51, 0, 15, 13, 0, 89, 1]","[6, 36, 0, 15, 2, 0, 3, 13]","[18, 49, 0, 9, 33, 57, 50, 17]","[77, 10, 45, 0, 12, 0, 12, 9]","[72, 59, 89, 16, 2, 2, 25, 6]","[17, 22, 16, 0, 3, 0, 16, 4]","[15, 2, 29, 0, 0, 2, 15, 9]","[10, 68, 29, 49, 36, 70, 12, 18]","[73, 25, 33, 1, 0, 0, 54, 6]","[12, 2, 13, 0, 2, 0, 18, 4]","[8, 54, 53, 0, 8, 0, 12, 5]","[11, 52, 17, 73, 0, 49, 20, 51]","[85, 78, 44, 100, 23, 83, 94, 12]","[12, 49, 78, 100, 77, 80, 59, 61]","[53, 3, 10, 0, 11, 15, 84, 5]","[69, 36, 65, 0, 65, 51, 70, 16]","[14, 2, 1, 0, 2, 13, 5, 6]","[9, 19, 89, 0, 2, 56, 0, 6]","[50, 0, 19, 48, 3, 48, 11, 8]","[6, 54, 20, 19, 2, 28, 0, 4]"
忠臣-逆贼,"[12, 0, 0, 3, 23, 4, 29, 5]","[39, 77, 43, 39, 20, 3, 78, 13]","[50, 67, 92, 55, 82, 65, 27, 15]","[75, 13, 1, 9, 28, 36, 60, 12]","[8, 8, 0, 4, 18, 17, 23, 5]","[95, 69, 80, 69, 66, 95, 80, 83]","[96, 100, 49, 100, 15, 32, 74, 10]","[9, 37, 14, 47, 22, 5, 81, 13]","[0, 26, 0, 3, 52, 5, 52, 50]","[66, 25, 72, 72, 24, 63, 28, 8]","[18, 25, 0, 12, 4, 0, 3, 46]","[57, 64, 65, 95, 73, 88, 100, 11]","[12, 71, 67, 12, 36, 76, 15, 17]","[22, 22, 0, 13, 2, 0, 4, 16]","[26, 20, 41, 12, 21, 0, 5, 6]","[7, 22, 0, 5, 8, 0, 79, 14]","[2, 23, 0, 7, 2, 0, 0, 12]","[18, 81, 0, 8, 2, 50, 57, 42]","[50, 0, 21, 0, 72, 0, 31, 4]","[76, 73, 44, 42, 0, 30, 7, 3]","[21, 0, 15, 0, 2, 0, 15, 4]","[10, 3, 23, 0, 3, 0, 21, 3]","[74, 89, 60, 91, 100, 94, 57, 93]","[23, 67, 91, 39, 12, 17, 57, 7]","[11, 1, 14, 0, 2, 0, 13, 3]","[10, 5, 57, 0, 2, 0, 57, 6]","[81, 95, 58, 92, 73, 71, 8, 69]","[50, 31, 12, 55, 8, 24, 85, 4]","[79, 88, 89, 87, 89, 81, 65, 54]","[25, 14, 17, 0, 8, 19, 54, 4]","[83, 100, 97, 100, 100, 34, 94, 96]","[14, 0, 2, 0, 2, 41, 85, 4]","[81, 83, 93, 100, 2, 49, 62, 2]","[80, 95, 12, 21, 87, 16, 51, 86]","[2, 0, 18, 0, 2, 26, 0, 50]"
敌对朋党之间,"[6, 1, 0, 9, 22, 4, 17, 9]","[90, 88, 99, 15, 50, 2, 82, 89]","[64, 87, 91, 87, 76, 49, 54, 55]","[7, 16, 1, 3, 27, 4, 66, 15]","[17, 0, 0, 4, 27, 65, 62, 10]","[93, 43, 72, 71, 68, 79, 76, 82]","[8, 100, 80, 78, 48, 7, 52, 14]","[92, 69, 33, 46, 22, 87, 87, 8]","[8, 0, 0, 4, 23, 0, 85, 49]","[65, 28, 59, 17, 25, 33, 10, 28]","[85, 27, 0, 12, 9, 0, 3, 13]","[82, 67, 42, 88, 64, 89, 76, 5]","[37, 66, 79, 78, 30, 58, 63, 81]","[16, 23, 0, 12, 5, 0, 2, 7]","[88, 22, 14, 7, 12, 21, 3, 11]","[7, 19, 2, 14, 6, 0, 83, 9]","[14, 28, 0, 11, 1, 0, 0, 16]","[14, 75, 0, 17, 11, 50, 39, 8]","[81, 4, 65, 0, 72, 0, 51, 3]","[16, 80, 67, 60, 15, 34, 19, 3]","[12, 5, 22, 0, 3, 0, 14, 3]","[8, 2, 23, 0, 0, 2, 25, 3]","[83, 91, 67, 83, 100, 92, 61, 87]","[29, 80, 50, 14, 10, 37, 8, 3]","[9, 3, 24, 0, 2, 0, 15, 4]","[6, 5, 17, 0, 3, 0, 17, 4]","[85, 100, 68, 96, 75, 63, 73, 52]","[32, 90, 21, 76, 57, 27, 73, 10]","[63, 92, 91, 63, 79, 44, 51, 89]","[11, 63, 21, 12, 65, 24, 53, 4]","[79, 95, 96, 100, 84, 76, 95, 90]","[13, 0, 7, 0, 6, 43, 92, 6]","[72, 93, 9, 99, 86, 88, 96, 3]","[50, 44, 17, 47, 77, 55, 7, 4]","[2, 0, 11, 0, 2, 18, 0, 5]"
暗恋对象-暗恋者,"[92, 81, 61, 94, 79, 78, 57, 55]","[43, 32, 82, 16, 29, 23, 76, 14]","[7, 68, 40, 5, 17, 50, 18, 9]","[72, 12, 1, 8, 24, 12, 15, 15]","[6, 7, 15, 6, 19, 51, 18, 7]","[30, 5, 0, 20, 18, 4, 18, 12]","[98, 4, 38, 27, 17, 11, 17, 16]","[74, 22, 47, 19, 33, 83, 39, 68]","[84, 66, 100, 1, 73, 56, 52, 97]","[31, 24, 100, 79, 50, 95, 36, 49]","[22, 30, 0, 58, 14, 54, 73, 46]","[23, 18, 0, 9, 0, 0, 4, 45]","[11, 64, 66, 27, 40, 58, 8, 58]","[16, 63, 75, 15, 59, 79, 68, 76]","[86, 71, 67, 84, 89, 100, 74, 76]","[13, 22, 13, 6, 31, 0, 22, 7]","[81, 60, 100, 55, 36, 75, 57, 72]","[8, 45, 0, 9, 2, 12, 1, 10]","[78, 7, 44, 82, 11, 75, 37, 64]","[15, 47, 55, 38, 2, 51, 40, 49]","[53, 63, 19, 71, 63, 52, 59, 48]","[4, 23, 20, 51, 24, 30, 50, 24]","[8, 32, 19, 14, 77, 7, 63, 3]","[28, 9, 41, 66, 15, 33, 81, 10]","[2, 81, 54, 14, 64, 48, 35, 48]","[8, 85, 48, 43, 39, 53, 18, 4]","[9, 0, 10, 7, 8, 52, 10, 52]","[66, 89, 53, 77, 68, 74, 82, 23]","[4, 2, 24, 49, 36, 33, 4, 4]","[9, 5, 13, 0, 16, 15, 4, 4]","[8, 11, 17, 22, 2, 26, 5, 8]","[5, 6, 53, 49, 21, 61, 9, 6]","[7, 15, 14, 0, 2, 14, 0, 4]","[50, 69, 57, 48, 90, 60, 50, 47]","[10, 0, 9, 0, 2, 26, 0, 53]"
情敌之间,"[4, 0, 0, 23, 21, 8, 40, 5]","[52, 94, 82, 51, 49, 2, 80, 93]","[2, 6, 26, 5, 20, 47, 29, 16]","[57, 4, 2, 4, 24, 8, 29, 9]","[2, 1, 0, 7, 19, 63, 20, 10]","[45, 57, 76, 48, 43, 77, 45, 14]","[83, 75, 49, 84, 16, 32, 41, 13]","[95, 9, 8, 13, 46, 10, 41, 13]","[2, 14, 0, 7, 23, 3, 77, 51]","[44, 26, 82, 96, 23, 91, 50, 51]","[14, 19, 0, 7, 2, 1, 1, 14]","[16, 20, 15, 9, 2, 0, 8, 32]","[22, 55, 77, 17, 18, 58, 9, 48]","[20, 24, 15, 5, 7, 15, 18, 7]","[16, 24, 78, 13, 93, 88, 34, 53]","[3, 25, 9, 10, 2, 0, 4, 18]","[10, 30, 10, 7, 6, 0, 0, 12]","[23, 52, 0, 14, 9, 10, 4, 8]","[11, 12, 18, 0, 31, 0, 41, 6]","[15, 75, 53, 57, 8, 14, 20, 7]","[15, 2, 17, 0, 13, 0, 2, 3]","[9, 6, 23, 0, 3, 2, 10, 3]","[9, 19, 22, 24, 83, 40, 46, 92]","[26, 70, 21, 53, 2, 0, 62, 4]","[12, 54, 18, 0, 2, 0, 2, 2]","[42, 2, 54, 0, 17, 0, 29, 5]","[12, 13, 14, 51, 0, 10, 14, 52]","[45, 77, 39, 77, 43, 9, 93, 4]","[15, 2, 28, 49, 33, 27, 6, 3]","[14, 6, 20, 0, 12, 24, 4, 4]","[91, 98, 15, 62, 83, 27, 61, 96]","[70, 2, 34, 38, 6, 45, 5, 4]","[2, 6, 20, 0, 2, 26, 0, 4]","[10, 43, 50, 48, 30, 59, 6, 3]","[7, 0, 16, 49, 19, 23, 0, 51]"
道教徒之间,"[95, 78, 80, 83, 52, 69, 67, 90]","[45, 93, 23, 60, 50, 6, 80, 89]","[56, 20, 69, 31, 48, 54, 32, 90]","[15, 10, 1, 9, 20, 9, 32, 79]","[2, 2, 0, 4, 49, 58, 18, 21]","[2, 20, 0, 8, 13, 5, 25, 14]","[52, 100, 74, 19, 67, 90, 49, 74]","[55, 12, 85, 66, 32, 60, 44, 88]","[69, 67, 73, 53, 53, 55, 28, 94]","[12, 26, 0, 89, 8, 29, 28, 5]","[25, 68, 0, 72, 58, 58, 80, 10]","[18, 63, 24, 70, 2, 23, 21, 3]","[21, 50, 91, 56, 35, 82, 30, 15]","[17, 59, 71, 83, 66, 65, 68, 16]","[29, 46, 74, 66, 2, 68, 37, 1]","[15, 60, 93, 13, 50, 15, 3, 5]","[4, 25, 7, 75, 29, 73, 29, 10]","[24, 50, 0, 31, 2, 84, 18, 12]","[41, 22, 22, 75, 23, 28, 12, 69]","[46, 80, 50, 90, 39, 79, 38, 90]","[46, 16, 34, 65, 8, 35, 58, 4]","[14, 7, 39, 30, 2, 46, 13, 83]","[48, 54, 29, 24, 66, 12, 55, 19]","[31, 51, 26, 83, 37, 77, 60, 85]","[10, 2, 28, 0, 2, 6, 15, 4]","[31, 89, 51, 94, 83, 71, 50, 96]","[68, 52, 23, 50, 4, 63, 57, 79]","[52, 61, 53, 100, 9, 29, 69, 74]","[62, 75, 66, 36, 80, 53, 52, 85]","[13, 13, 29, 17, 2, 16, 14, 9]","[48, 2, 18, 26, 7, 24, 5, 6]","[86, 2, 24, 70, 2, 45, 72, 82]","[75, 50, 15, 48, 3, 23, 19, 7]","[51, 70, 54, 65, 94, 39, 62, 79]","[9, 64, 11, 49, 2, 26, 0, 5]"
妻子和外妇（非妾）之间,"[7, 33, 26, 8, 28, 4, 56, 5]","[11, 4, 0, 14, 26, 5, 13, 15]","[6, 74, 6, 42, 65, 49, 78, 14]","[53, 30, 1, 20, 72, 9, 90, 15]","[5, 13, 0, 5, 56, 63, 36, 12]","[78, 41, 11, 58, 14, 74, 52, 15]","[42, 30, 9, 24, 26, 9, 71, 7]","[75, 5, 14, 9, 36, 26, 60, 15]","[28, 31, 24, 21, 24, 7, 80, 52]","[25, 25, 67, 65, 62, 85, 91, 41]","[46, 29, 0, 9, 59, 35, 3, 28]","[19, 60, 16, 10, 33, 9, 14, 27]","[48, 62, 73, 26, 89, 68, 5, 62]","[18, 19, 43, 12, 54, 26, 8, 18]","[11, 20, 8, 13, 40, 65, 20, 45]","[2, 22, 30, 6, 52, 0, 100, 13]","[3, 34, 0, 5, 37, 0, 0, 14]","[10, 82, 0, 15, 7, 41, 3, 9]","[17, 47, 34, 22, 9, 0, 12, 3]","[18, 21, 67, 27, 10, 14, 24, 3]","[18, 51, 28, 19, 13, 0, 26, 3]","[6, 35, 41, 12, 6, 3, 10, 2]","[78, 44, 48, 75, 75, 42, 82, 89]","[27, 43, 44, 53, 17, 4, 9, 3]","[80, 64, 19, 66, 75, 0, 14, 3]","[50, 79, 68, 63, 35, 0, 27, 5]","[11, 16, 3, 0, 3, 0, 4, 3]","[46, 92, 49, 69, 36, 82, 67, 3]","[14, 2, 20, 19, 45, 38, 10, 2]","[11, 15, 18, 0, 40, 24, 26, 3]","[87, 46, 65, 55, 73, 79, 78, 99]","[13, 46, 8, 49, 2, 70, 83, 3]","[8, 38, 15, 0, 2, 79, 0, 4]","[16, 58, 13, 38, 12, 57, 6, 4]","[93, 100, 95, 100, 94, 83, 100, 94]"
捕快-百姓,"[80, 89, 49, 63, 49, 11, 43, 52]","[2, 5, 0, 13, 26, 3, 19, 17]","[86, 72, 71, 36, 29, 23, 84, 86]","[62, 37, 1, 38, 46, 79, 84, 73]","[32, 3, 60, 10, 71, 65, 48, 12]","[25, 63, 50, 52, 66, 33, 36, 63]","[85, 88, 10, 69, 48, 74, 45, 46]","[10, 71, 4, 15, 64, 20, 80, 52]","[56, 11, 11, 23, 24, 0, 9, 27]","[63, 27, 0, 25, 2, 21, 0, 3]","[79, 62, 39, 85, 58, 53, 68, 14]","[69, 64, 80, 89, 62, 82, 73, 12]","[83, 48, 81, 25, 28, 69, 23, 8]","[21, 31, 75, 27, 57, 35, 51, 14]","[19, 25, 14, 22, 23, 0, 15, 4]","[36, 77, 31, 20, 85, 42, 65, 7]","[15, 36, 23, 11, 3, 30, 42, 7]","[74, 81, 0, 16, 10, 51, 13, 22]","[78, 54, 70, 19, 71, 47, 48, 12]","[25, 83, 70, 38, 69, 2, 30, 18]","[64, 49, 22, 35, 63, 13, 19, 5]","[46, 9, 44, 5, 10, 3, 21, 13]","[61, 65, 63, 70, 77, 63, 71, 79]","[55, 56, 66, 52, 23, 20, 53, 23]","[12, 2, 21, 0, 2, 14, 14, 2]","[43, 66, 62, 0, 65, 24, 50, 19]","[33, 35, 15, 84, 1, 51, 8, 72]","[81, 86, 58, 74, 75, 87, 92, 12]","[83, 87, 91, 83, 86, 82, 82, 78]","[54, 63, 45, 40, 29, 18, 66, 12]","[47, 56, 46, 60, 71, 41, 37, 58]","[24, 20, 32, 8, 7, 74, 5, 10]","[93, 95, 18, 82, 81, 50, 91, 91]","[57, 81, 49, 57, 84, 25, 63, 11]","[9, 0, 15, 0, 2, 22, 0, 53]"
嫖客-妓女,"[59, 100, 61, 95, 74, 58, 75, 65]","[0, 38, 0, 5, 26, 49, 31, 19]","[55, 70, 14, 77, 72, 65, 58, 84]","[82, 100, 100, 89, 73, 99, 85, 30]","[100, 42, 99, 95, 71, 34, 26, 92]","[88, 43, 49, 80, 48, 8, 19, 16]","[7, 100, 29, 35, 66, 58, 52, 87]","[55, 18, 56, 4, 21, 94, 81, 71]","[2, 0, 0, 2, 19, 25, 80, 14]","[12, 25, 2, 22, 7, 44, 43, 17]","[59, 69, 100, 97, 76, 100, 94, 65]","[22, 23, 7, 16, 6, 0, 15, 11]","[14, 15, 9, 13, 12, 50, 11, 6]","[21, 23, 29, 36, 19, 30, 16, 17]","[19, 25, 0, 15, 6, 59, 9, 5]","[13, 69, 99, 84, 42, 60, 100, 56]","[25, 33, 0, 16, 32, 67, 6, 8]","[62, 83, 0, 19, 38, 79, 51, 9]","[21, 50, 21, 58, 7, 3, 24, 10]","[66, 74, 69, 92, 71, 19, 26, 93]","[28, 57, 16, 70, 14, 7, 28, 17]","[52, 88, 57, 79, 100, 4, 17, 50]","[72, 94, 37, 86, 74, 63, 56, 94]","[69, 65, 24, 53, 3, 0, 31, 75]","[67, 57, 45, 82, 72, 20, 25, 89]","[10, 70, 58, 38, 7, 0, 45, 21]","[13, 0, 25, 0, 0, 0, 0, 3]","[85, 73, 59, 100, 22, 83, 94, 66]","[7, 20, 84, 17, 11, 35, 5, 3]","[89, 92, 78, 100, 87, 86, 96, 91]","[15, 63, 29, 56, 6, 41, 61, 11]","[11, 10, 40, 19, 60, 73, 4, 88]","[87, 92, 70, 82, 97, 84, 95, 89]","[7, 2, 59, 48, 2, 62, 7, 3]","[2, 0, 11, 0, 2, 31, 0, 4]"
佛教徒之间,"[99, 74, 80, 83, 49, 19, 77, 89]","[40, 91, 23, 51, 50, 45, 21, 86]","[55, 3, 85, 31, 79, 52, 47, 90]","[6, 8, 1, 9, 20, 6, 1, 88]","[6, 0, 1, 6, 19, 6, 14, 6]","[27, 20, 0, 11, 13, 0, 17, 14]","[56, 100, 74, 38, 71, 53, 65, 70]","[69, 60, 85, 47, 33, 63, 32, 93]","[78, 84, 74, 72, 51, 55, 21, 92]","[13, 27, 0, 88, 17, 31, 15, 2]","[18, 62, 0, 72, 50, 57, 81, 25]","[34, 72, 27, 71, 2, 26, 21, 13]","[24, 74, 100, 77, 40, 83, 30, 17]","[15, 64, 92, 84, 69, 66, 54, 8]","[82, 51, 65, 82, 12, 70, 38, 11]","[2, 61, 80, 12, 37, 16, 2, 10]","[57, 27, 16, 77, 36, 26, 25, 7]","[14, 50, 0, 30, 3, 82, 17, 14]","[24, 15, 28, 57, 42, 27, 37, 70]","[40, 84, 52, 89, 41, 78, 11, 89]","[51, 47, 33, 56, 13, 34, 59, 66]","[29, 5, 49, 25, 22, 46, 11, 84]","[56, 7, 26, 25, 67, 8, 56, 17]","[31, 49, 77, 83, 62, 78, 60, 89]","[12, 0, 13, 0, 4, 0, 20, 1]","[51, 69, 67, 94, 82, 72, 43, 88]","[51, 55, 45, 51, 9, 74, 46, 87]","[51, 65, 13, 100, 11, 82, 69, 77]","[70, 80, 89, 71, 100, 81, 45, 80]","[14, 10, 24, 17, 9, 20, 14, 10]","[48, 2, 21, 22, 2, 29, 7, 9]","[66, 88, 30, 70, 6, 49, 74, 83]","[72, 54, 22, 49, 2, 68, 9, 9]","[52, 71, 53, 76, 93, 51, 65, 87]","[2, 5, 13, 49, 2, 24, 0, 2]"
同盟朋党之间,"[95, 100, 93, 41, 74, 89, 61, 91]","[48, 96, 89, 59, 68, 45, 81, 88]","[6, 74, 76, 24, 75, 64, 86, 91]","[70, 64, 49, 52, 22, 71, 83, 34]","[16, 19, 8, 9, 28, 76, 52, 28]","[29, 7, 23, 15, 14, 7, 21, 15]","[89, 100, 99, 100, 68, 92, 78, 79]","[89, 85, 89, 65, 75, 60, 83, 78]","[62, 35, 49, 61, 39, 49, 20, 55]","[80, 27, 69, 63, 46, 54, 72, 65]","[70, 73, 0, 79, 94, 68, 83, 60]","[72, 64, 60, 92, 68, 87, 77, 77]","[83, 74, 80, 82, 55, 58, 61, 69]","[76, 76, 68, 74, 80, 75, 70, 69]","[85, 81, 25, 32, 10, 55, 81, 25]","[69, 69, 100, 72, 87, 56, 84, 9]","[66, 67, 14, 76, 54, 63, 63, 2]","[22, 26, 3, 13, 27, 67, 54, 18]","[83, 79, 67, 87, 83, 68, 39, 76]","[62, 89, 79, 79, 80, 74, 74, 84]","[72, 89, 65, 55, 62, 37, 74, 77]","[69, 62, 77, 49, 15, 46, 13, 76]","[68, 85, 84, 58, 79, 59, 51, 90]","[81, 88, 85, 96, 85, 74, 68, 82]","[12, 1, 18, 0, 2, 71, 13, 4]","[92, 98, 100, 100, 100, 89, 83, 95]","[89, 99, 61, 92, 87, 10, 70, 51]","[46, 87, 27, 88, 69, 80, 70, 71]","[67, 95, 78, 45, 100, 47, 45, 85]","[14, 66, 80, 9, 61, 15, 74, 15]","[12, 19, 18, 26, 9, 31, 8, 11]","[86, 87, 73, 97, 77, 83, 78, 86]","[58, 95, 80, 100, 86, 79, 73, 5]","[76, 88, 58, 52, 88, 75, 47, 87]","[2, 0, 15, 6, 2, 65, 0, 53]"
伙计-顾客,"[23, 18, 92, 56, 82, 76, 76, 38, 97, 45]","[3, 0, 9, 33, 99, 14, 10, 26, 2, 4]","[100, 97, 87, 70, 88, 77, 79, 12, 100, 100]","[100, 99, 80, 94, 94, 81, 88, 92, 100, 79]","[91, 98, 90, 93, 98, 73, 71, 78, 100, 100]","[52, 11, 15, 11, 2, 38, 25, 15, 15, 51]","[74, 73, 57, 65, 86, 33, 71, 20, 18, 0]","[2, 0, 51, 46, 2, 25, 23, 18, 0, 3]","[2, 0, 33, 1, 2, 17, 3, 19, 0, 2]","[7, 3, 0, 7, 0, 0, 7, 22, 1, 6]","[85, 87, 100, 100, 100, 100, 95, 81, 98, 95]","[80, 48, 100, 4, 85, 19, 16, 88, 45, 20]","[9, 5, 1, 5, 0, 0, 19, 23, 3, 15]","[48, 19, 52, 11, 7, 68, 52, 31, 50, 54]","[14, 17, 1, 5, 0, 0, 9, 18, 1, 7]","[69, 4, 48, 15, 94, 87, 68, 51, 5, 83]","[27, 8, 0, 4, 0, 0, 10, 12, 2, 3]","[49, 35, 23, 60, 74, 48, 60, 51, 3, 78]","[52, 31, 7, 4, 81, 0, 6, 64, 4, 88]","[72, 29, 10, 25, 50, 81, 78, 87, 79, 10]","[50, 30, 12, 0, 0, 0, 17, 12, 1, 6]","[14, 16, 2, 0, 0, 0, 14, 35, 6, 3]","[81, 69, 76, 100, 51, 100, 16, 80, 59, 6]","[52, 69, 38, 2, 1, 11, 11, 62, 92, 88]","[2, 13, 1, 0, 0, 0, 4, 0, 1, 4]","[18, 21, 24, 20, 50, 35, 70, 30, 2, 2]","[78, 47, 12, 46, 0, 27, 11, 5, 50, 51]","[92, 71, 100, 22, 97, 87, 19, 85, 100, 85]","[100, 85, 100, 82, 99, 96, 100, 50, 100, 85]","[88, 81, 100, 81, 100, 96, 100, 78, 100, 94]","[26, 29, 100, 29, 52, 15, 15, 10, 8, 35]","[80, 79, 100, 43, 0, 2, 64, 67, 52, 76]","[100, 88, 100, 94, 86, 73, 100, 97, 100, 83]","[50, 86, 100, 53, 49, 50, 52, 44, 5, 62]","[36, 18, 0, 13, 50, 3, 0, 5, 5, 7]"
